Timestamp	SourceIP	SourcePort	DestIP	DestPort	Protocol
____________________________________________________________________________________________________
16:37:43 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:37:43 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:37:48 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
16:37:48 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
16:38:13 		192.168.56.1 		46895 		239.255.255.250 		1900 		UDP 
16:38:14 		192.168.56.1 		46895 		239.255.255.250 		1900 		UDP 
16:38:15 		192.168.56.1 		46895 		239.255.255.250 		1900 		UDP 
16:38:16 		192.168.56.1 		46895 		239.255.255.250 		1900 		UDP 
16:40:13 		192.168.56.1 		41866 		239.255.255.250 		1900 		UDP 
16:40:14 		192.168.56.1 		41866 		239.255.255.250 		1900 		UDP 
16:40:15 		192.168.56.1 		41866 		239.255.255.250 		1900 		UDP 
16:40:16 		192.168.56.1 		41866 		239.255.255.250 		1900 		UDP 
16:42:13 		192.168.56.1 		39509 		239.255.255.250 		1900 		UDP 
16:42:14 		192.168.56.1 		39509 		239.255.255.250 		1900 		UDP 
16:42:15 		192.168.56.1 		39509 		239.255.255.250 		1900 		UDP 
16:42:16 		192.168.56.1 		39509 		239.255.255.250 		1900 		UDP 
16:44:13 		192.168.56.1 		59344 		239.255.255.250 		1900 		UDP 
16:44:14 		192.168.56.1 		59344 		239.255.255.250 		1900 		UDP 
16:44:15 		192.168.56.1 		59344 		239.255.255.250 		1900 		UDP 
16:44:16 		192.168.56.1 		59344 		239.255.255.250 		1900 		UDP 
16:46:13 		192.168.56.1 		58801 		239.255.255.250 		1900 		UDP 
16:46:14 		192.168.56.1 		58801 		239.255.255.250 		1900 		UDP 
16:46:15 		192.168.56.1 		58801 		239.255.255.250 		1900 		UDP 
16:46:16 		192.168.56.1 		58801 		239.255.255.250 		1900 		UDP 
16:46:33 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:46:33 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:46:38 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
16:46:38 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
16:48:13 		192.168.56.1 		54755 		239.255.255.250 		1900 		UDP 
16:48:14 		192.168.56.1 		54755 		239.255.255.250 		1900 		UDP 
16:48:15 		192.168.56.1 		54755 		239.255.255.250 		1900 		UDP 
16:48:16 		192.168.56.1 		54755 		239.255.255.250 		1900 		UDP 
16:50:13 		192.168.56.1 		48714 		239.255.255.250 		1900 		UDP 
16:50:14 		192.168.56.1 		48714 		239.255.255.250 		1900 		UDP 
16:50:15 		192.168.56.1 		48714 		239.255.255.250 		1900 		UDP 
16:50:16 		192.168.56.1 		48714 		239.255.255.250 		1900 		UDP 
16:52:13 		192.168.56.1 		41541 		239.255.255.250 		1900 		UDP 
16:52:14 		192.168.56.1 		41541 		239.255.255.250 		1900 		UDP 
16:52:15 		192.168.56.1 		41541 		239.255.255.250 		1900 		UDP 
16:52:16 		192.168.56.1 		41541 		239.255.255.250 		1900 		UDP 
16:54:13 		192.168.56.1 		60330 		239.255.255.250 		1900 		UDP 
16:54:14 		192.168.56.1 		60330 		239.255.255.250 		1900 		UDP 
16:54:15 		192.168.56.1 		60330 		239.255.255.250 		1900 		UDP 
16:54:16 		192.168.56.1 		60330 		239.255.255.250 		1900 		UDP 
16:56:13 		192.168.56.1 		54345 		239.255.255.250 		1900 		UDP 
16:56:14 		192.168.56.1 		54345 		239.255.255.250 		1900 		UDP 
16:56:15 		192.168.56.1 		54345 		239.255.255.250 		1900 		UDP 
16:56:16 		192.168.56.1 		54345 		239.255.255.250 		1900 		UDP 
16:56:29 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:56:29 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:56:34 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
16:56:34 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
16:58:13 		192.168.56.1 		46115 		239.255.255.250 		1900 		UDP 
16:58:14 		192.168.56.1 		46115 		239.255.255.250 		1900 		UDP 
16:58:15 		192.168.56.1 		46115 		239.255.255.250 		1900 		UDP 
16:58:16 		192.168.56.1 		46115 		239.255.255.250 		1900 		UDP 
17:0:13 		192.168.56.1 		45320 		239.255.255.250 		1900 		UDP 
17:0:14 		192.168.56.1 		45320 		239.255.255.250 		1900 		UDP 
17:0:15 		192.168.56.1 		45320 		239.255.255.250 		1900 		UDP 
