Timestamp	SourceIP	SourcePort	DestIP	DestPort	Protocol
____________________________________________________________________________________________________
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37698 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		51952 		192.168.56.102 		56371 		TCP 
17:39:22 		192.168.56.102 		56371 		192.168.56.1 		51952 		TCP 
17:39:22 		192.168.56.1 		51952 		192.168.56.102 		56371 		TCP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		56371 		192.168.56.1 		51952 		TCP 
17:39:22 		192.168.56.1 		51952 		192.168.56.102 		56371 		TCP 
17:39:22 		192.168.56.102 		56371 		192.168.56.1 		51952 		TCP 
17:39:22 		192.168.56.1 		51952 		192.168.56.102 		56371 		TCP 
17:39:22 		192.168.56.102 		56371 		192.168.56.1 		51952 		TCP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.1 		37706 		192.168.56.102 		21 		FTP 
17:39:22 		192.168.56.102 		21 		192.168.56.1 		37706 		FTP 
17:39:59 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:1 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:3 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:5 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:7 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:9 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:11 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:13 		192.168.56.1 		57061 		239.255.255.250 		1900 		UDP 
17:40:13 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:14 		192.168.56.1 		57061 		239.255.255.250 		1900 		UDP 
17:40:15 		192.168.56.1 		57061 		239.255.255.250 		1900 		UDP 
17:40:15 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:16 		192.168.56.1 		57061 		239.255.255.250 		1900 		UDP 
17:40:17 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:19 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:21 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:23 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:25 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:27 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:29 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:31 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:33 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:35 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:37 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:39 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:41 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:43 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:45 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:46 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:47 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:48 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:49 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:40:50 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:41:3 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:3 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:3 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:3 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:3 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:7 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:7 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:7 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:7 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:11 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:11 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:11 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:11 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
17:41:11 		192.168.56.102 		21 		192.168.56.101 		36832 		FTP 
17:41:11 		192.168.56.101 		36832 		192.168.56.102 		21 		FTP 
